Dataset,Method,R²,R² std,RMSE,RMSE std,MAE,MAE std,Spearman,Spearman std
SWD,IdentityNoAct-MLP,0.3917172792143272,0.08117132164036511,0.6335464181200494,0.03938734110566722,0.5183339554145026,0.03296884728924453,0.6359214947010129,0.07310602114227187
SWD,RW-MLP,0.3977200343348638,0.08636849133485645,0.6302791904800593,0.043626597038644084,0.51451017296907,0.03736561083251558,0.6367808053639261,0.07086104383629749
ERA,MLP,0.34753031700510206,0.08518903596536048,1.6240517870523212,0.11629495485253148,1.3091969690272311,0.1100792116047714,0.5579023622171748,0.06504884549197514
ERA,Linear-MLP,0.3449694678186951,0.08194881715052109,1.6270492004854855,0.10099979534936927,1.3114483965714527,0.08420810125188917,0.5441451358274276,0.06618175894467697
ERA,Identity-MLP,0.36044849382937344,0.07092319777654035,1.6090643073154063,0.10053410312219499,1.2927905646664186,0.0969393861365622,0.553892296215556,0.06571626907642511
ERA,NoAct-MLP,0.35645986809528296,0.08280823415894842,1.613041104575925,0.11025191651593597,1.2946139063239033,0.0925710828462231,0.5575620678327662,0.07157631283911413
ERA,IdentityNoAct-MLP,0.3486360192547637,0.08479688783206205,1.6227010634493908,0.11595629491675799,1.308066397723842,0.10962298613752182,0.5571315326961915,0.06537103310583076
ERA,RW-MLP,0.3495468196038009,0.08325357469389794,1.6217836601729108,0.11529873665257173,1.3077967569173616,0.10999319401824954,0.556087632494553,0.0656756880207221
FacultySalaries,MLP,0.5769418891440573,0.24090497012046977,2.0683668524629093,0.7867634978389055,1.6663061333246698,0.617335868241741,0.7499999999999999,0.2459674775249768
FacultySalaries,Linear-MLP,-0.02767253859674068,1.564524944449047,2.548384639039702,0.9369784649782694,2.097389388037377,0.7233772177887184,0.4259092423229804,0.6576443219141862
FacultySalaries,Identity-MLP,0.03961402115907976,0.7227969673637467,2.722708463920327,0.7545554533460779,2.294283053898191,0.610351245409493,0.483567812998961,0.5655728923376642
FacultySalaries,NoAct-MLP,0.13093591189184658,0.9693218625583001,2.4649988660334072,0.9119957009105346,1.9670370631641163,0.8512705752371769,0.43999999999999995,0.48414873747640813
FacultySalaries,IdentityNoAct-MLP,0.5959392101671197,0.21609686425210348,2.033816099818987,0.7804095994202733,1.627682293249724,0.6188232884971259,0.7499999999999999,0.2459674775249768
FacultySalaries,RW-MLP,0.5711007050998512,0.2315190828900151,2.064287269705038,0.7520958750180801,1.6466707863380214,0.5965207871078158,0.7499999999999999,0.2459674775249768
wine_quality,MLP,0.023616322986644733,0.016724805682920618,11432.759248615772,5546.237455874627,3099.552578650789,350.0299684820705,0.2910971031194428,0.03663563073328021
wine_quality,Linear-MLP,0.0178153432339062,0.019861273615580977,11477.318474460371,5590.595375068747,3047.7447563167166,302.7192067806982,0.2983835601512159,0.024608890174767032
wine_quality,Identity-MLP,0.020973775452594046,0.018856401863967524,11448.014538214782,5548.799128624,3084.145911927462,352.5187074036443,0.29826382746463653,0.028809941175023546
wine_quality,NoAct-MLP,0.02056157039993257,0.017213932829650894,11449.087636112947,5540.599300571363,3087.9724394482155,325.87781069669006,0.2948115313928429,0.037731417405931965
wine_quality,IdentityNoAct-MLP,0.02135992609231412,0.017195741013176682,11443.45974061555,5539.44621705517,3087.699213268783,378.3324136258559,0.29806351029000605,0.036563670780054756
wine_quality,RW-MLP,0.023276428138807294,0.013152519704740963,11424.482444208394,5514.532440701469,3090.324730572614,361.3303921984827,0.29056828860803297,0.034924446245686684
Moneyball,MLP,0.912286725830026,0.022222232928578837,23.7489012647664,2.8271988333051996,18.87003068966766,2.09504588574948,0.9483688252200073,0.015293233619481811
Moneyball,Linear-MLP,0.8975750388211402,0.023932361567338946,25.745368781090228,3.2457088821338287,20.068601052716563,2.27117190624748,0.9447792006207301,0.013499163241277317
Moneyball,Identity-MLP,0.8681479783656922,0.05222944286760122,28.8918821688575,5.960781410889537,22.778957406892992,4.900149579189402,0.9244933933501315,0.0342677870026133
Moneyball,NoAct-MLP,0.917523407533096,0.02228491515341524,22.99485045453941,2.8861410009724078,18.3314329814604,2.187962507331814,0.9526152146968533,0.015282115649719716
Moneyball,IdentityNoAct-MLP,0.9142262124023123,0.020609937735793733,23.485874609938662,2.5506518815358596,18.664321892808214,2.0323306719286998,0.9494546524817521,0.014556317130330463
Moneyball,RW-MLP,0.9115506257841786,0.023836770876871933,23.79930471462445,3.1034570327655855,18.97485745261804,2.369459621232776,0.9492601702337812,0.015683872946411468
black_friday,MLP,0.41780938890475267,0.021417421715075408,3874.9619514248925,93.05802902848568,3014.7683393628677,61.31301623951748,0.6048595093733132,0.012539708621784775
black_friday,Linear-MLP,0.43390620567454974,0.029491437591611207,3820.1960010544876,110.1831692663842,2964.922424701787,70.88264669426272,0.6168405504662186,0.02252917322183692
black_friday,Identity-MLP,0.4464434873455613,0.03220239895142706,3777.4371131061794,123.43382082568773,2946.628527678145,76.52731144242671,0.6202857745387933,0.025690804373455296
black_friday,NoAct-MLP,0.43047732388242155,0.026801412739644887,3832.087350414081,104.94769319070792,2977.7077307390196,63.8464323278869,0.6102429443345289,0.01854696663820306
